,precision,recall,f1-score,support
combinatorics,0.14285714285714285,0.0048543689320388345,0.009389671361502348,206.0
dirichlet,0.06427221172022685,0.41975308641975306,0.11147540983606558,81.0
geometry,0.0,0.0,0.0,83.0
graphs,0.0,0.0,0.0,84.0
invariant,0.05172413793103448,0.06976744186046512,0.0594059405940594,43.0
number_theory,0.5493562231759657,0.2650103519668737,0.3575418994413408,483.0
polynoms,0.05970149253731343,0.05333333333333334,0.056338028169014086,75.0
accuracy,0.16113744075829384,0.16113744075829384,0.16113744075829384,0.16113744075829384
macro avg,0.12398731546024046,0.11610265464463773,0.08487870705742603,1055.0
weighted avg,0.2906876078134921,0.16113744075829384,0.18050836538917442,1055.0
