,precision,recall,f1-score,support
Геометрия,0.02127659574468085,0.014084507042253521,0.016949152542372885,71.0
Графы,0.0624,0.5652173913043478,0.11239193083573487,69.0
Дирихле,0.07692307692307693,0.056818181818181816,0.06535947712418301,88.0
Инвариант,0.06569343065693431,0.18,0.0962566844919786,50.0
Комбинаторика,0.1935483870967742,0.05714285714285714,0.08823529411764705,210.0
Многочлен,0.13861386138613863,0.18181818181818182,0.15730337078651685,77.0
Теория чисел,0.5,0.018367346938775512,0.03543307086614174,490.0
accuracy,0.08436018957345971,0.08436018957345971,0.08436018957345971,0.08436018957345971
macro avg,0.1512079074010864,0.15334978086637108,0.081704140109225,1055.0
weighted avg,0.2959133357507157,0.08436018957345971,0.06400651877666193,1055.0
